GD_NO,GO_TO_LINK,CATEGORY_CD
968119052,http://gd.image-qoo10.jp/ai/103/200/4263200103_00.g_0-w-st_g.jpg,dress
968123420,http://gd.image-qoo10.jp/ai/694/443/4594443694_00.g_0-w-st_g.jpg,dress
968130181,http://gd.image-qoo10.jp/ai/116/581/4262581116_00.g_0-w-st_g.jpg,dress
968393660,http://gd.image-qoo10.jp/ai/866/925/4262925866_00.g_0-w-st_g.jpg,dress
968397982,http://gd.image-qoo10.jp/ai/592/238/4719238592_00.g_0-w-st_g.jpg,dress
968398339,http://gd.image-qoo10.jp/ai/502/944/4262944502_00.g_0-w-st_g.jpg,dress
969160370,http://gd.image-qoo10.jp/ai/466/065/3994065466_00.g_0-w-st_g.jpg,dress
969160372,http://gd.image-qoo10.jp/ai/507/992/4539992507_00.g_0-w-st_g.jpg,dress
969160373,http://gd.image-qoo10.jp/ai/181/636/4727636181_00.g_0-w-st_g.jpg,dress
969382285,http://gd.image-qoo10.jp/ai/597/474/3994474597_00.g_0-w-st_g.jpg,dress
971262902,http://gd.image-qoo10.jp/ai/115/217/4010217115_00.g_0-w-st_g.jpg,dress
976751928,http://gd.image-qoo10.jp/ai/772/274/4794274772_00.g_0-w-st_g.jpg,dress
978395624,http://gd.image-qoo10.jp/ai/854/962/4317962854_00.g_0-w-st_g.jpg,dress
979051320,http://gd.image-qoo10.jp/ai/937/052/4092052937_00.g_0-w-st_g.jpg,dress
979367144,http://gd.image-qoo10.jp/ai/509/731/4101731509_00.g_0-w-st_g.jpg,dress
979373699,http://gd.image-qoo10.jp/ai/414/977/4101977414_00.g_0-w-st_g.jpg,dress
979521493,http://gd.image-qoo10.jp/ai/973/135/4103135973_00.g_0-w-st_g.jpg,dress
979614137,http://gd.image-qoo10.jp/ai/768/265/4104265768_00.g_0-w-st_g.jpg,dress
979831724,http://gd.image-qoo10.jp/ai/706/559/4139559706_00.g_0-w-st_g.jpg,dress
979833330,http://gd.image-qoo10.jp/ai/326/831/4148831326_00.g_0-w-st_g.jpg,dress
979833380,http://gd.image-qoo10.jp/ai/552/814/4150814552_00.g_0-w-st_g.jpg,dress
979833432,http://gd.image-qoo10.jp/ai/324/247/4106247324_00.g_0-w-st_g.jpg,dress
979896495,http://gd.image-qoo10.jp/ai/158/913/4156913158_00.g_0-w-st_g.jpg,dress
979897236,http://gd.image-qoo10.jp/ai/748/317/4273317748_00.g_0-w-st_g.jpg,dress
979897267,http://gd.image-qoo10.jp/ai/456/858/4429858456_00.g_0-w-st_g.jpg,dress
